incident_severity,insured_hobbies,total_claim_amount,policy_annual_premium,age,insured_occupation,insured_relationship,umbrella_limit,collision_type,incident_type,fraud_reported
Minor Damage,biking,13135,1337,41,engineer,wife,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,reading,16906,1037,63,teacher,unmarried,0,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,22354,810,29,engineer,other-relative,1200000,Front Collision,Parked Car,1
Trivial Damage,skydiving,25672,729,41,lawyer,own-child,0,Side Collision,Parked Car,0
Total Loss,chess,21478,844,18,lawyer,husband,0,Rear Collision,Parked Car,0
Major Damage,reading,24363,804,25,teacher,own-child,1200000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,chess,5309,570,51,engineer,other-relative,600000,Side Collision,Parked Car,0
Trivial Damage,board games,11064,1135,30,teacher,unmarried,0,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,10255,833,48,lawyer,husband,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,chess,16160,481,51,engineer,husband,1200000,Side Collision,Parked Car,0
Major Damage,reading,21182,1191,46,teacher,wife,0,Front Collision,Single Vehicle Collision,1
Major Damage,skydiving,13081,1001,32,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,1
Major Damage,biking,14210,321,62,engineer,husband,1200000,Front Collision,Single Vehicle Collision,1
Major Damage,cross-fit,17399,946,25,lawyer,own-child,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,biking,23129,1100,60,lawyer,own-child,0,Rear Collision,Parked Car,1
Total Loss,reading,25989,1227,69,lawyer,husband,600000,Side Collision,Single Vehicle Collision,1
Minor Damage,chess,9149,1043,52,lawyer,other-relative,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,skydiving,19202,1199,53,teacher,wife,600000,Front Collision,Single Vehicle Collision,1
Total Loss,reading,12132,1207,55,manager,husband,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,9833,1415,59,lawyer,wife,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,18975,1158,54,engineer,wife,600000,Rear Collision,Parked Car,1
Major Damage,biking,16790,1529,66,engineer,other-relative,1200000,Rear Collision,Multi-vehicle Collision,1
Total Loss,cross-fit,17191,1005,37,manager,husband,0,Front Collision,Multi-vehicle Collision,1
Major Damage,cross-fit,9310,1233,25,lawyer,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,skydiving,16001,1321,28,doctor,own-child,0,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,23813,863,43,manager,own-child,0,Front Collision,Multi-vehicle Collision,1
Trivial Damage,biking,13563,763,35,lawyer,husband,1200000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,15053,1103,37,lawyer,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,chess,24288,914,43,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Major Damage,chess,18944,1087,36,engineer,own-child,600000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,7127,983,68,lawyer,unmarried,600000,Side Collision,Parked Car,0
Major Damage,reading,20157,1273,27,doctor,wife,1200000,Side Collision,Parked Car,0
Trivial Damage,chess,9647,801,24,teacher,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,10732,946,60,engineer,other-relative,0,Front Collision,Multi-vehicle Collision,0
Major Damage,reading,6122,791,26,manager,husband,0,Rear Collision,Parked Car,1
Minor Damage,chess,6465,1405,29,manager,other-relative,600000,Side Collision,Single Vehicle Collision,0
Major Damage,board games,14142,1085,46,engineer,husband,0,Side Collision,Single Vehicle Collision,0
Total Loss,reading,15463,740,67,lawyer,own-child,1200000,Front Collision,Parked Car,1
Total Loss,cross-fit,8515,1257,20,engineer,husband,1200000,Side Collision,Parked Car,0
Total Loss,reading,22290,762,35,manager,own-child,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,chess,11848,1057,30,lawyer,husband,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,22199,1031,54,engineer,husband,600000,Side Collision,Single Vehicle Collision,0
Total Loss,biking,9747,966,66,doctor,wife,1200000,Front Collision,Single Vehicle Collision,1
Trivial Damage,biking,10969,1456,38,lawyer,husband,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,11313,1183,31,teacher,other-relative,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,15689,572,69,doctor,wife,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,13804,782,61,teacher,wife,600000,Rear Collision,Parked Car,0
Total Loss,chess,13050,890,30,lawyer,husband,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,16231,1089,47,teacher,own-child,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,16609,1284,62,doctor,wife,600000,Front Collision,Parked Car,0
Trivial Damage,cross-fit,19227,1097,66,lawyer,wife,600000,Side Collision,Single Vehicle Collision,0
Total Loss,board games,17892,811,36,doctor,other-relative,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,15156,1448,48,teacher,wife,1200000,Side Collision,Multi-vehicle Collision,1
Total Loss,board games,13832,1308,50,manager,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,reading,16859,1116,33,manager,wife,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,10138,1142,19,teacher,own-child,1200000,Rear Collision,Parked Car,0
Minor Damage,reading,18693,1190,57,doctor,unmarried,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,12824,1096,43,doctor,wife,0,Side Collision,Parked Car,1
Total Loss,board games,6812,836,60,lawyer,unmarried,0,Rear Collision,Parked Car,0
Minor Damage,chess,20568,1289,63,lawyer,wife,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,14177,882,58,doctor,other-relative,0,Rear Collision,Single Vehicle Collision,1
Major Damage,biking,9836,922,53,manager,husband,0,Front Collision,Parked Car,1
Major Damage,biking,7364,1143,28,manager,wife,1200000,Rear Collision,Multi-vehicle Collision,1
Major Damage,biking,8435,1074,38,doctor,unmarried,0,Side Collision,Parked Car,0
Minor Damage,biking,16361,943,58,doctor,unmarried,600000,Side Collision,Parked Car,0
Total Loss,biking,18130,1055,56,engineer,wife,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,chess,8000,730,24,doctor,husband,0,Side Collision,Single Vehicle Collision,1
Trivial Damage,skydiving,18992,641,66,doctor,wife,1200000,Rear Collision,Parked Car,0
Trivial Damage,biking,14854,1166,56,manager,wife,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,skydiving,7682,907,22,engineer,wife,0,Rear Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,11366,1211,40,manager,husband,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,8348,1097,26,manager,wife,600000,Front Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,18899,1277,56,engineer,unmarried,0,Front Collision,Multi-vehicle Collision,1
Major Damage,reading,12757,570,37,lawyer,husband,600000,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,10166,1276,62,manager,unmarried,1200000,Front Collision,Parked Car,1
Total Loss,cross-fit,8546,994,48,teacher,unmarried,0,Rear Collision,Parked Car,0
Minor Damage,cross-fit,17960,849,33,lawyer,own-child,1200000,Front Collision,Parked Car,0
Minor Damage,reading,22253,1686,68,lawyer,wife,600000,Side Collision,Parked Car,0
Total Loss,chess,14953,1286,40,engineer,own-child,600000,Front Collision,Single Vehicle Collision,0
Total Loss,chess,11700,1201,55,teacher,husband,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,cross-fit,11257,1145,48,manager,wife,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,biking,12108,1087,23,engineer,wife,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,skydiving,21977,1117,36,teacher,wife,0,Side Collision,Parked Car,1
Major Damage,chess,14644,1095,25,doctor,other-relative,600000,Front Collision,Parked Car,0
Minor Damage,skydiving,5014,741,47,lawyer,other-relative,0,Rear Collision,Parked Car,0
Total Loss,biking,14043,965,45,teacher,unmarried,0,Front Collision,Multi-vehicle Collision,0
Trivial Damage,reading,17465,916,22,doctor,other-relative,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,chess,18650,850,51,doctor,husband,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,reading,22856,1510,48,lawyer,wife,1200000,Front Collision,Parked Car,0
Total Loss,chess,18181,1496,19,teacher,husband,1200000,Rear Collision,Multi-vehicle Collision,1
Total Loss,reading,10277,744,56,manager,unmarried,0,Front Collision,Parked Car,0
Major Damage,skydiving,13653,1164,18,doctor,wife,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,board games,24136,1092,29,engineer,own-child,1200000,Rear Collision,Parked Car,1
Trivial Damage,biking,13699,1262,45,engineer,unmarried,600000,Front Collision,Parked Car,1
Trivial Damage,cross-fit,26508,949,60,engineer,husband,600000,Rear Collision,Single Vehicle Collision,1
Major Damage,chess,11224,803,45,lawyer,other-relative,0,Rear Collision,Single Vehicle Collision,0
Major Damage,cross-fit,18958,1095,61,lawyer,other-relative,1200000,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,15205,973,59,doctor,other-relative,0,Rear Collision,Parked Car,0
Minor Damage,cross-fit,24106,1236,33,doctor,own-child,1200000,Front Collision,Parked Car,1
Total Loss,cross-fit,16336,1128,31,doctor,wife,0,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,20011,401,37,doctor,unmarried,0,Rear Collision,Parked Car,0
Total Loss,reading,10827,1357,31,manager,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,7322,977,50,lawyer,other-relative,600000,Rear Collision,Parked Car,0
Trivial Damage,reading,18133,575,53,teacher,wife,600000,Rear Collision,Single Vehicle Collision,0
Major Damage,skydiving,12640,655,58,doctor,own-child,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,14230,958,29,engineer,unmarried,600000,Side Collision,Single Vehicle Collision,0
Minor Damage,board games,9005,948,33,manager,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,19093,594,60,engineer,unmarried,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,8311,592,39,teacher,unmarried,0,Side Collision,Single Vehicle Collision,0
Total Loss,board games,18194,1354,61,engineer,wife,600000,Side Collision,Single Vehicle Collision,0
Total Loss,skydiving,18469,599,68,doctor,wife,600000,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,10423,1005,68,engineer,unmarried,600000,Rear Collision,Single Vehicle Collision,0
Total Loss,cross-fit,11460,750,49,doctor,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Total Loss,biking,18589,891,56,doctor,unmarried,1200000,Front Collision,Single Vehicle Collision,1
Minor Damage,skydiving,9376,315,50,manager,own-child,1200000,Side Collision,Multi-vehicle Collision,0
Total Loss,chess,15154,788,64,lawyer,unmarried,600000,Rear Collision,Multi-vehicle Collision,1
Trivial Damage,biking,17201,1143,64,teacher,wife,600000,Side Collision,Multi-vehicle Collision,1
Total Loss,reading,25258,605,37,doctor,wife,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,board games,18446,574,47,manager,wife,1200000,Side Collision,Multi-vehicle Collision,0
Minor Damage,cross-fit,21811,652,42,lawyer,unmarried,600000,Rear Collision,Parked Car,0
Major Damage,biking,25617,1088,20,lawyer,unmarried,0,Side Collision,Parked Car,0
Minor Damage,reading,13457,1290,32,engineer,wife,1200000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,chess,15473,222,29,teacher,other-relative,0,Front Collision,Parked Car,0
Major Damage,biking,23525,732,49,doctor,wife,600000,Rear Collision,Single Vehicle Collision,1
Minor Damage,board games,1932,801,39,manager,husband,0,Side Collision,Multi-vehicle Collision,0
Trivial Damage,cross-fit,11072,213,48,teacher,unmarried,0,Side Collision,Multi-vehicle Collision,1
Total Loss,reading,11812,781,49,engineer,other-relative,0,Rear Collision,Multi-vehicle Collision,1
Total Loss,board games,10721,1367,63,engineer,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,12410,135,36,lawyer,unmarried,0,Side Collision,Single Vehicle Collision,0
Minor Damage,reading,22930,646,23,engineer,husband,0,Side Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,15576,1147,31,doctor,unmarried,0,Rear Collision,Single Vehicle Collision,1
Trivial Damage,chess,10034,808,51,teacher,husband,600000,Front Collision,Multi-vehicle Collision,0
Total Loss,cross-fit,17042,565,45,lawyer,own-child,600000,Rear Collision,Parked Car,0
Minor Damage,chess,15150,1035,30,manager,own-child,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,biking,18309,639,68,teacher,unmarried,600000,Front Collision,Parked Car,1
Major Damage,skydiving,18644,1021,64,doctor,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Major Damage,reading,12218,1089,66,doctor,unmarried,1200000,Rear Collision,Single Vehicle Collision,0
Minor Damage,biking,19724,1482,61,manager,unmarried,0,Front Collision,Parked Car,0
Major Damage,board games,15594,916,31,doctor,wife,1200000,Rear Collision,Multi-vehicle Collision,1
Total Loss,skydiving,19190,884,28,manager,wife,600000,Front Collision,Single Vehicle Collision,1
Total Loss,cross-fit,25961,719,22,doctor,other-relative,600000,Rear Collision,Parked Car,1
Minor Damage,chess,11734,1142,26,doctor,other-relative,1200000,Front Collision,Single Vehicle Collision,0
Major Damage,board games,18484,849,35,manager,wife,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,cross-fit,16307,988,19,manager,unmarried,600000,Side Collision,Parked Car,0
Trivial Damage,cross-fit,9330,971,51,engineer,own-child,600000,Side Collision,Parked Car,1
Trivial Damage,cross-fit,16697,1170,58,lawyer,other-relative,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,board games,9372,1055,36,manager,other-relative,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,board games,22982,648,62,manager,wife,0,Side Collision,Multi-vehicle Collision,0
Total Loss,skydiving,18395,807,33,manager,unmarried,1200000,Rear Collision,Parked Car,1
Total Loss,biking,16163,1480,58,manager,husband,600000,Side Collision,Single Vehicle Collision,0
Total Loss,chess,10088,1121,55,manager,wife,600000,Front Collision,Parked Car,1
Trivial Damage,reading,4067,905,22,doctor,unmarried,600000,Front Collision,Multi-vehicle Collision,1
Minor Damage,cross-fit,17750,804,33,lawyer,unmarried,600000,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,18899,748,49,lawyer,own-child,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,22618,1152,52,lawyer,unmarried,1200000,Side Collision,Parked Car,1
Trivial Damage,skydiving,22113,1053,56,engineer,wife,600000,Front Collision,Multi-vehicle Collision,0
Trivial Damage,reading,13977,1318,47,lawyer,own-child,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,reading,19016,1423,26,doctor,husband,0,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,17137,591,31,teacher,own-child,0,Front Collision,Single Vehicle Collision,0
Minor Damage,biking,17885,683,33,manager,other-relative,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,skydiving,12962,1233,69,lawyer,unmarried,0,Side Collision,Multi-vehicle Collision,1
Major Damage,cross-fit,18882,537,56,manager,husband,1200000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,chess,18504,1028,20,doctor,unmarried,0,Side Collision,Single Vehicle Collision,0
Total Loss,cross-fit,13495,932,27,engineer,husband,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,reading,14448,1225,36,teacher,unmarried,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,chess,23042,995,58,manager,unmarried,0,Side Collision,Parked Car,0
Total Loss,board games,18824,1057,57,lawyer,other-relative,600000,Rear Collision,Parked Car,0
Major Damage,board games,8121,1236,34,doctor,wife,0,Rear Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,21790,1685,51,lawyer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Major Damage,reading,13366,1482,67,teacher,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,17462,830,67,manager,unmarried,600000,Front Collision,Single Vehicle Collision,0
Total Loss,board games,13449,647,56,engineer,wife,1200000,Side Collision,Single Vehicle Collision,1
Major Damage,reading,20728,617,59,lawyer,own-child,600000,Front Collision,Multi-vehicle Collision,1
Minor Damage,biking,12918,1196,54,manager,own-child,600000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,15456,1267,36,teacher,unmarried,1200000,Rear Collision,Parked Car,1
Major Damage,reading,20854,1348,52,manager,wife,600000,Side Collision,Parked Car,1
Trivial Damage,chess,12120,877,68,manager,other-relative,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,skydiving,14530,714,32,lawyer,other-relative,600000,Front Collision,Multi-vehicle Collision,1
Total Loss,board games,24903,888,55,teacher,other-relative,0,Rear Collision,Single Vehicle Collision,0
Major Damage,biking,16680,1188,35,manager,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,16003,975,58,engineer,own-child,1200000,Front Collision,Multi-vehicle Collision,1
Trivial Damage,skydiving,13433,1161,41,doctor,unmarried,1200000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,15301,518,41,lawyer,own-child,600000,Front Collision,Parked Car,0
Total Loss,cross-fit,14824,1326,64,engineer,other-relative,1200000,Front Collision,Parked Car,0
Trivial Damage,biking,19932,993,30,lawyer,husband,1200000,Front Collision,Single Vehicle Collision,0
Major Damage,board games,15766,1426,56,lawyer,husband,1200000,Side Collision,Multi-vehicle Collision,1
Major Damage,biking,18697,700,18,manager,husband,600000,Rear Collision,Parked Car,1
Major Damage,chess,14980,1050,36,teacher,wife,600000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,reading,16590,1235,27,lawyer,own-child,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,board games,14277,1158,63,engineer,own-child,0,Front Collision,Multi-vehicle Collision,1
Minor Damage,biking,16067,598,18,engineer,own-child,600000,Rear Collision,Multi-vehicle Collision,1
Major Damage,cross-fit,11455,1121,35,lawyer,wife,600000,Rear Collision,Single Vehicle Collision,1
Minor Damage,board games,7473,927,25,manager,unmarried,0,Rear Collision,Parked Car,0
Total Loss,skydiving,18323,1207,37,engineer,other-relative,0,Side Collision,Multi-vehicle Collision,0
Total Loss,board games,12534,1195,46,engineer,own-child,0,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,18546,373,21,manager,wife,1200000,Rear Collision,Parked Car,0
Total Loss,cross-fit,17010,1012,53,engineer,other-relative,1200000,Side Collision,Single Vehicle Collision,0
Major Damage,board games,18101,1113,58,lawyer,other-relative,600000,Front Collision,Single Vehicle Collision,1
Total Loss,cross-fit,12281,1797,23,engineer,other-relative,1200000,Rear Collision,Parked Car,1
Trivial Damage,chess,24265,1107,40,doctor,husband,600000,Side Collision,Multi-vehicle Collision,1
Minor Damage,board games,27907,1488,39,engineer,other-relative,600000,Side Collision,Parked Car,0
Major Damage,skydiving,17752,971,57,doctor,own-child,600000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,21265,607,34,doctor,wife,600000,Side Collision,Multi-vehicle Collision,0
Total Loss,board games,14097,1072,52,doctor,wife,1200000,Rear Collision,Parked Car,1
Trivial Damage,board games,21176,852,61,lawyer,wife,0,Side Collision,Single Vehicle Collision,0
Minor Damage,chess,12276,1126,36,lawyer,husband,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,8927,927,26,doctor,other-relative,600000,Front Collision,Single Vehicle Collision,0
Minor Damage,skydiving,18452,1098,18,teacher,wife,1200000,Side Collision,Multi-vehicle Collision,0
Major Damage,reading,13202,1054,31,lawyer,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Total Loss,reading,18288,549,59,engineer,other-relative,600000,Front Collision,Parked Car,0
Total Loss,skydiving,18760,1293,44,lawyer,other-relative,0,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,12131,822,45,lawyer,husband,0,Front Collision,Parked Car,0
Trivial Damage,biking,10398,1170,62,doctor,wife,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,18962,1107,18,manager,unmarried,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,biking,21143,678,20,lawyer,own-child,600000,Side Collision,Multi-vehicle Collision,1
Trivial Damage,reading,12623,1088,40,lawyer,other-relative,600000,Rear Collision,Parked Car,0
Major Damage,cross-fit,3962,909,34,manager,own-child,0,Front Collision,Parked Car,0
Minor Damage,cross-fit,16435,959,60,engineer,unmarried,600000,Front Collision,Single Vehicle Collision,1
Total Loss,reading,15411,727,34,teacher,husband,0,Side Collision,Multi-vehicle Collision,1
Major Damage,chess,14653,1013,40,doctor,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Total Loss,board games,7242,1433,57,engineer,unmarried,600000,Rear Collision,Parked Car,1
Minor Damage,reading,14881,1251,28,lawyer,husband,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,reading,18903,1265,68,lawyer,husband,0,Front Collision,Multi-vehicle Collision,0
Major Damage,board games,13749,1446,22,doctor,own-child,600000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,biking,14657,978,43,engineer,other-relative,1200000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,11687,841,52,teacher,husband,600000,Rear Collision,Parked Car,0
Trivial Damage,cross-fit,21143,541,20,lawyer,husband,0,Side Collision,Parked Car,1
Total Loss,cross-fit,9478,1523,35,teacher,other-relative,0,Rear Collision,Single Vehicle Collision,0
Total Loss,skydiving,13150,702,55,doctor,wife,1200000,Side Collision,Multi-vehicle Collision,1
Minor Damage,board games,21848,1080,36,teacher,other-relative,0,Side Collision,Parked Car,0
Major Damage,board games,17084,940,67,manager,other-relative,600000,Side Collision,Single Vehicle Collision,0
Total Loss,reading,17233,858,64,teacher,husband,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,22064,859,55,teacher,unmarried,1200000,Front Collision,Parked Car,1
Trivial Damage,skydiving,20840,1511,68,engineer,unmarried,1200000,Front Collision,Parked Car,1
Minor Damage,skydiving,12726,1074,46,engineer,own-child,0,Front Collision,Parked Car,0
Trivial Damage,board games,20079,902,43,teacher,husband,600000,Front Collision,Multi-vehicle Collision,1
Major Damage,biking,16889,775,65,teacher,other-relative,600000,Rear Collision,Parked Car,0
Major Damage,reading,18822,858,19,doctor,other-relative,600000,Rear Collision,Parked Car,0
Minor Damage,cross-fit,18025,1053,51,manager,husband,1200000,Rear Collision,Single Vehicle Collision,1
Major Damage,biking,14162,1491,47,teacher,unmarried,1200000,Side Collision,Single Vehicle Collision,1
Minor Damage,skydiving,11077,1431,32,manager,unmarried,1200000,Rear Collision,Single Vehicle Collision,0
Trivial Damage,reading,18874,908,42,teacher,wife,0,Side Collision,Parked Car,0
Major Damage,skydiving,17943,577,54,manager,husband,1200000,Side Collision,Parked Car,0
Total Loss,board games,8800,970,68,teacher,other-relative,600000,Front Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,11757,1071,35,manager,unmarried,0,Side Collision,Single Vehicle Collision,0
Total Loss,chess,5377,1226,35,doctor,own-child,600000,Side Collision,Multi-vehicle Collision,0
Minor Damage,reading,21111,601,32,teacher,own-child,1200000,Rear Collision,Single Vehicle Collision,0
Major Damage,reading,15204,779,31,teacher,unmarried,1200000,Rear Collision,Multi-vehicle Collision,1
Minor Damage,skydiving,15185,1181,56,lawyer,wife,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,reading,16014,1255,65,teacher,own-child,0,Front Collision,Single Vehicle Collision,1
Trivial Damage,chess,21317,1006,52,doctor,unmarried,1200000,Side Collision,Multi-vehicle Collision,0
Trivial Damage,biking,24723,702,35,teacher,own-child,600000,Front Collision,Single Vehicle Collision,0
Major Damage,reading,24400,1471,39,teacher,husband,600000,Front Collision,Parked Car,0
Trivial Damage,board games,15097,1366,47,manager,own-child,600000,Front Collision,Single Vehicle Collision,0
Major Damage,board games,12130,1432,35,manager,husband,0,Rear Collision,Parked Car,0
Major Damage,skydiving,20349,1748,33,lawyer,own-child,1200000,Side Collision,Single Vehicle Collision,0
Minor Damage,skydiving,11722,14,34,lawyer,husband,0,Side Collision,Multi-vehicle Collision,0
Minor Damage,skydiving,10663,1105,55,manager,other-relative,600000,Front Collision,Multi-vehicle Collision,0
Minor Damage,reading,21111,1188,26,doctor,other-relative,600000,Rear Collision,Parked Car,0
Minor Damage,chess,20882,994,53,teacher,husband,1200000,Front Collision,Multi-vehicle Collision,1
Total Loss,skydiving,17558,789,27,engineer,husband,0,Side Collision,Multi-vehicle Collision,0
Major Damage,reading,10246,422,34,engineer,other-relative,0,Rear Collision,Parked Car,0
Major Damage,skydiving,8351,922,27,lawyer,other-relative,1200000,Front Collision,Parked Car,1
Major Damage,reading,16825,796,59,teacher,unmarried,0,Rear Collision,Multi-vehicle Collision,1
Total Loss,skydiving,9125,1137,37,teacher,wife,0,Side Collision,Parked Car,0
Minor Damage,board games,16076,939,53,engineer,husband,600000,Rear Collision,Parked Car,0
Total Loss,biking,13489,1232,32,manager,other-relative,0,Side Collision,Single Vehicle Collision,0
Minor Damage,biking,8852,1407,43,teacher,unmarried,0,Rear Collision,Parked Car,0
Minor Damage,biking,16392,554,26,doctor,husband,1200000,Rear Collision,Parked Car,0
Minor Damage,reading,13101,1088,25,engineer,unmarried,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,board games,10139,1382,55,teacher,unmarried,1200000,Side Collision,Parked Car,0
Major Damage,reading,19065,1206,23,teacher,husband,0,Front Collision,Parked Car,1
Major Damage,reading,20876,1198,26,doctor,husband,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,skydiving,15662,1778,49,doctor,unmarried,0,Front Collision,Multi-vehicle Collision,0
Major Damage,biking,16137,892,69,doctor,own-child,1200000,Front Collision,Single Vehicle Collision,0
Trivial Damage,biking,23757,566,31,manager,other-relative,1200000,Front Collision,Single Vehicle Collision,1
Trivial Damage,reading,11329,1477,33,teacher,husband,0,Side Collision,Multi-vehicle Collision,1
Trivial Damage,board games,18905,960,25,manager,husband,1200000,Rear Collision,Parked Car,0
Major Damage,board games,17011,708,64,teacher,unmarried,600000,Side Collision,Single Vehicle Collision,0
Trivial Damage,reading,14735,709,60,teacher,unmarried,1200000,Side Collision,Parked Car,0
Major Damage,cross-fit,24545,997,29,teacher,husband,600000,Front Collision,Single Vehicle Collision,1
Minor Damage,board games,12370,728,66,teacher,other-relative,0,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,skydiving,23833,1710,38,teacher,husband,0,Front Collision,Single Vehicle Collision,0
Trivial Damage,skydiving,15859,608,44,teacher,husband,600000,Side Collision,Multi-vehicle Collision,0
Major Damage,reading,21299,995,53,teacher,own-child,0,Rear Collision,Single Vehicle Collision,0
Minor Damage,skydiving,11018,1808,50,doctor,wife,1200000,Front Collision,Multi-vehicle Collision,1
Minor Damage,biking,8230,891,61,manager,unmarried,600000,Rear Collision,Multi-vehicle Collision,0
Trivial Damage,chess,17615,844,64,engineer,wife,600000,Side Collision,Single Vehicle Collision,0
Major Damage,board games,6968,1457,50,engineer,other-relative,0,Side Collision,Single Vehicle Collision,0
Major Damage,skydiving,6334,1633,61,engineer,unmarried,0,Rear Collision,Single Vehicle Collision,0
Trivial Damage,biking,24292,376,65,engineer,own-child,1200000,Front Collision,Parked Car,0
Major Damage,board games,6773,449,62,teacher,unmarried,600000,Front Collision,Multi-vehicle Collision,0
Major Damage,cross-fit,1590,1295,45,doctor,other-relative,1200000,Front Collision,Parked Car,1
Major Damage,chess,17879,889,18,engineer,wife,600000,Side Collision,Single Vehicle Collision,0
Major Damage,chess,25173,1145,49,teacher,husband,600000,Side Collision,Parked Car,0
